Group,Participant,Time,Swimming,Flooding,Biodiversity,Water Quality
D,5,0:26:33,0,0,0,0
D,5,0:26:33,0,0,0,0
D,5,0:35:19,0,0,0,0
D,5,0:35:19,0,0,0,0
D,5,0:43:28,1.04,4.04,2.04,3.04
D,5,0:45:04,0,0,0,0
D,5,0:54:00,0,0,0,0
D,5,1:02:56,1.04,4.04,2.04,3.04
D,5,1:05:14,1.04,4.04,2.04,3.04
D,5,1:07:02,1.04,4.04,2.04,3.04
D,5,1:07:48,0,0,0,0
D,5,1:07:48,0,0,0,0
D,5,1:09:43,0,0,0,0
D,5,1:09:43,0,0,0,0
D,5,1:12:28,2.04,3.04,4.04,1.04
D,5,1:15:29,3.04,2.04,4.04,1.04
D,5,1:19:30,2.04,3.04,4.04,1.04
D,5,1:21:24,2.04,3.04,4.04,1.04
D,5,1:24:04,0,0,0,0
D,5,1:26:22,0,0,0,0
D,5,1:26:22,0,0,0,0
D,5,1:26:23,2.04,4.04,3.04,1.04
D,5,1:27:55,0,0,0,0
D,5,1:30:13,2.04,3.04,4.04,1.04
D,5,1:31:33,2.04,3.04,4.04,1.04
D,5,1:33:01,2.04,3.04,4.04,1.04
D,5,1:33:41,0,0,0,0
D,5,1:33:41,0,0,0,0
D,5,1:33:59,0,0,0,0
D,5,1:36:29,2.04,3.04,4.04,1.04
D,5,1:20:00,2.04,3.04,4.04,1.04
D,6,0:00:00,1.96,0.96,2.96,3.96
D,6,0:18:56,0.96,1.96,2.96,3.96
D,6,0:40:27,0.96,1.96,2.96,3.96
A,6,1:14:52,0.98,1.98,3.98,2.98
A,6,1:19:34,0,0,0,0
A,6,1:29:57,0,0,0,0
A,6,1:29:57,0,0,0,0
A,6,1:33:12,0,0,0,0
A,6,1:40:00,0.98,1.98,3.98,2.98
B,6,0:20:52,0.96,1.96,2.96,3.96
B,6,0:21:08,0.96,1.96,3.96,2.96
B,6,0:47:55,0.96,1.96,3.96,2.96
B,6,1:08:05,0.96,1.96,3.96,2.96
B,6,1:15:22,1.96,2.96,3.96,0.96
B,6,1:45:00,1.96,2.96,3.96,0.96
C,6,0:59:57,1.02,2.02,4.02,3.02
C,6,1:02:54,1.02,2.02,4.02,3.02
C,6,1:12:19,1.02,3.02,4.02,2.02
C,6,1:13:15,2.02,3.02,4.02,1.02
C,6,1:16:41,2.02,3.02,4.02,1.02
C,6,1:20:00,2.02,3.02,4.02,1.02
D,6,0:43:45,0.96,2.96,3.96,1.96
D,6,0:43:45,0,0,0,0
D,6,0:56:32,0.96,2.96,3.96,1.96
D,6,0:58:52,0.96,2.96,3.96,1.96
D,6,1:36:29,1.96,2.96,3.96,0.96
D,6,1:20:00,1.96,2.96,3.96,0.96
